WorkDate,Customer,Location,BusinessType,OrderCount,NumberOfPieces,TotalRevenue
2020-01-02,Amazon,Tampa Bay,Final Mile,37,185,2062.8
2020-01-02,Amazon,Sacramento,Final Mile,12,60,1353.61
2020-01-02,Walmart,Milwaukee,Middle Mile,20,100,1557.03
2020-01-02,Walmart,Chicago,Middle Mile,48,240,5654.51
2020-01-02,Target,Atlanta,Middle Mile,36,180,1523.48
2020-01-02,Target,Milwaukee,Middle Mile,43,172,1208.45
2020-01-02,Target,San Francisco,Middle Mile,23,92,929.84
2020-01-02,Walmart,New York,Middle Mile,36,180,792.6
2020-01-02,Costco,Minneapolis,First Mile,18,90,3554.4
2020-01-02,Costco,Dallas,First Mile,14,70,1505.01
2020-01-02,Target,Detroit,Middle Mile,35,175,913.95
2020-01-02,Costco,San Diego,First Mile,23,92,2040.58
2020-01-02,Costco,Birmingham,First Mile,7,35,546.57
2020-01-02,Costco,Houston,First Mile,10,50,704.33
2020-01-02,Costco,Sacramento,First Mile,11,55,879.66
2020-01-02,Costco,Chicago,First Mile,8,32,1213.97
2020-01-02,Costco,Miami,First Mile,20,120,4060.79
2020-01-02,Costco,Atlanta,First Mile,22,88,3124.73
2020-01-02,Target,Dallas,Middle Mile,38,190,1458.74
2020-01-02,Target,Chicago,Middle Mile,49,245,2945.05
2020-01-02,Target,Nashville,Middle Mile,40,160,1977.16
2020-01-02,Costco,Milwaukee,First Mile,9,45,499.58
2020-01-03,Home Depot,Miami,Final Mile,18,90,3741.0
2020-01-03,Home Goods,San Francisco,Middle Mile,34,204,1439.76
2020-01-03,T.J. Maxx,Los Angeles,Middle Mile,43,215,1051.18
2020-01-03,Home Depot,Houston,Final Mile,49,245,11300.61
2020-01-03,Home Depot,Chicago,Final Mile,43,215,15691.72
2020-01-03,Home Depot,Los Angeles,Final Mile,47,235,15313.83
2020-01-03,Costco,Seattle,First Mile,13,52,1120.83
2020-01-03,Home Depot,Nashville,Final Mile,49,245,6673.36
2020-01-03,Home Depot,Tampa Bay,Final Mile,23,115,8391.1
2020-01-03,Home Depot,Birmingham,Final Mile,14,70,5246.74
2020-01-03,Costco,Nashville,First Mile,14,70,2193.13
2020-01-03,Home Goods,Sacramento,Middle Mile,35,175,740.82
2020-01-03,Home Depot,Milwaukee,Final Mile,20,80,2885.41
2020-01-03,Home Goods,Detroit,Middle Mile,41,205,1326.84
2020-01-03,Starbucks,Sacramento,Middle Mile,15,75,644.68
2020-01-03,Chick-Fil-A,Houston,Final Mile,31,155,2177.27
2020-01-03,Chick-Fil-A,San Francisco,Final Mile,13,65,592.9
2020-01-03,Chipotle,Seattle,Final Mile,44,308,1493.83
2020-01-03,Chipotle,Chicago,Final Mile,46,230,3207.25
2020-01-03,Chipotle,Milwaukee,Final Mile,22,110,1552.02
2020-01-03,Lowes,Chicago,Final Mile,26,130,6759.66
2020-01-03,Shein,Tampa Bay,Middle Mile,35,140,3216.99
2020-01-03,Shein,New York,Middle Mile,17,102,2022.11
2020-01-03,Shein,Los Angeles,Middle Mile,10,50,325.24
2020-01-03,Shein,Chicago,Middle Mile,26,130,1761.99
2020-01-03,Shein,Dallas,Middle Mile,36,180,3766.04
2020-01-03,Starbucks,Birmingham,Middle Mile,36,216,2092.89
2020-01-03,Starbucks,Tampa Bay,Middle Mile,16,64,277.2
2020-01-03,Costco,Detroit,First Mile,7,35,730.94
2020-01-03,Home Goods,New York,Middle Mile,14,56,1015.55
2020-01-03,Costco,Minneapolis,First Mile,18,90,3554.4
2020-01-03,Home Goods,Miami,Middle Mile,29,145,1723.66
2020-01-03,Costco,Birmingham,First Mile,7,35,546.57
2020-01-03,Costco,San Diego,First Mile,23,115,2550.72
2020-01-03,Amazon,Atlanta,Final Mile,41,164,3692.8
2020-01-03,Amazon,San Francisco,Final Mile,27,135,676.54
2020-01-03,Amazon,Los Angeles,Final Mile,31,186,3195.37
2020-01-03,Amazon,San Diego,Final Mile,41,205,1376.18
2020-01-03,Amazon,Houston,Final Mile,21,126,679.08
2020-01-03,Amazon,New York,Final Mile,16,80,1860.2
2020-01-03,Amazon,Birmingham,Final Mile,19,95,1426.11
2020-01-03,Amazon,Nashville,Final Mile,15,75,1518.77
2020-01-03,Amazon,Dallas,Final Mile,40,240,5417.87
2020-01-03,Amazon,Tampa Bay,Final Mile,37,185,2062.8
2020-01-03,Amazon,Sacramento,Final Mile,12,72,1624.33
2020-01-03,Walmart,New York,Middle Mile,36,108,475.56
2020-01-03,Walmart,Milwaukee,Middle Mile,20,100,1557.03
2020-01-03,Walmart,Chicago,Middle Mile,48,240,5654.51
2020-01-03,Amazon,Chicago,Final Mile,38,152,1667.27
2020-01-03,Target,Tampa Bay,Middle Mile,22,110,450.71
2020-01-03,Target,Atlanta,Middle Mile,36,180,1523.48
2020-01-03,Costco,New York,First Mile,18,90,1337.0
2020-01-03,Costco,Los Angeles,First Mile,16,80,1850.04
2020-01-03,Costco,Sacramento,First Mile,11,55,879.66
2020-01-03,Costco,Milwaukee,First Mile,9,45,499.58
2020-01-03,Costco,Miami,First Mile,20,100,3383.99
2020-01-03,Costco,Houston,First Mile,10,50,704.33
2020-01-03,Target,Dallas,Middle Mile,38,190,1458.74
2020-01-03,Target,Los Angeles,Middle Mile,22,132,1931.71
2020-01-03,Target,Seattle,Middle Mile,26,130,3235.81
2020-01-03,Target,Chicago,Middle Mile,49,245,2945.05
2020-01-03,Target,Sacramento,Middle Mile,39,156,1193.59
2020-01-03,Costco,Atlanta,First Mile,22,110,3905.92
2020-01-04,T.J. Maxx,Seattle,Middle Mile,7,35,354.91
2020-01-04,Home Depot,Atlanta,Final Mile,17,85,3890.55
2020-01-04,Home Depot,Chicago,Final Mile,17,102,7444.45
2020-01-04,Costco,Dallas,First Mile,5,20,430.0
2020-01-04,Home Depot,Miami,Final Mile,7,35,1454.83
2020-01-04,Home Depot,Los Angeles,Final Mile,18,90,5864.87
2020-01-04,Home Depot,Milwaukee,Final Mile,8,48,1731.25
2020-01-04,Home Depot,Dallas,Final Mile,15,75,1504.63
2020-01-04,Home Depot,Birmingham,Final Mile,5,25,1873.83
2020-01-04,Costco,Nashville,First Mile,5,25,783.26
2020-01-04,Costco,Seattle,First Mile,5,25,538.86
2020-01-04,Home Goods,Tampa Bay,Middle Mile,8,40,335.0
2020-01-04,Home Depot,Sacramento,Final Mile,13,65,2940.77
2020-01-04,Home Goods,Chicago,Middle Mile,7,35,458.74
2020-01-04,Shein,Tampa Bay,Middle Mile,14,70,1608.49
2020-01-04,Chick-Fil-A,Houston,Final Mile,12,60,842.81
2020-01-04,Chick-Fil-A,Los Angeles,Final Mile,7,35,524.57
2020-01-04,Chipotle,Detroit,Final Mile,6,30,131.19
2020-01-04,Chipotle,Atlanta,Final Mile,6,30,512.72
2020-01-04,Lowes,Milwaukee,Final Mile,3,18,540.47
2020-01-04,Shein,New York,Middle Mile,7,49,971.41
2020-01-04,Shein,Sacramento,Middle Mile,6,30,299.72
2020-01-04,Shein,Chicago,Middle Mile,10,50,677.69
2020-01-04,Shein,Nashville,Middle Mile,10,40,867.68
2020-01-04,Shein,Detroit,Middle Mile,10,50,398.09
2020-01-04,Shein,Dallas,Middle Mile,14,70,1464.57
2020-01-04,Starbucks,Houston,Middle Mile,13,65,678.88
2020-01-04,Starbucks,San Francisco,Middle Mile,14,70,497.99
2020-01-04,Starbucks,Los Angeles,Middle Mile,15,75,1151.31
2020-01-04,Home Goods,Houston,Middle Mile,9,45,648.84
2020-01-04,Costco,Minneapolis,First Mile,7,35,1382.27
2020-01-04,Costco,Houston,First Mile,4,20,281.73
2020-01-04,Costco,Birmingham,First Mile,2,10,156.16
2020-01-04,Amazon,Chicago,Final Mile,15,105,1151.73
2020-01-04,Costco,San Diego,First Mile,9,54,1197.73
2020-01-04,Amazon,San Francisco,Final Mile,11,55,275.63
2020-01-04,Amazon,Los Angeles,Final Mile,12,60,1030.76
2020-01-04,Amazon,San Diego,Final Mile,16,80,537.05
2020-01-04,Amazon,Houston,Final Mile,8,32,172.47
2020-01-04,Amazon,New York,Final Mile,6,30,697.58
2020-01-04,Amazon,Birmingham,Final Mile,7,28,420.33
2020-01-04,Amazon,Nashville,Final Mile,6,30,607.51
2020-01-04,Amazon,Minneapolis,Final Mile,11,55,1131.49
2020-01-04,Amazon,Dallas,Final Mile,16,96,2167.15
2020-01-04,Amazon,Tampa Bay,Final Mile,15,75,836.27
2020-01-04,Amazon,Sacramento,Final Mile,5,25,564.0
2020-01-04,Walmart,New York,Middle Mile,14,70,308.23
2020-01-04,Amazon,Atlanta,Final Mile,16,80,1801.36
2020-01-04,Target,Milwaukee,Middle Mile,17,85,597.2
2020-01-04,Walmart,Chicago,Middle Mile,19,76,1790.59
2020-01-04,Costco,Los Angeles,First Mile,6,30,693.76
2020-01-04,Costco,Milwaukee,First Mile,3,15,166.53
2020-01-04,Costco,San Francisco,First Mile,4,20,711.47
2020-01-04,Costco,Miami,First Mile,8,40,1353.6
2020-01-04,Costco,Atlanta,First Mile,9,45,1597.87
2020-01-04,Costco,Chicago,First Mile,3,15,569.05
2020-01-04,Target,Los Angeles,Middle Mile,8,32,468.29
2020-01-04,Target,Seattle,Middle Mile,10,50,1244.54
2020-01-04,Target,Chicago,Middle Mile,19,95,1141.96
2020-01-04,Target,Nashville,Middle Mile,16,80,988.58
2020-01-04,Target,Tampa Bay,Middle Mile,9,36,147.5
2020-01-04,Target,Dallas,Middle Mile,15,60,460.65
2020-01-04,Target,Detroit,Middle Mile,14,84,438.7
2020-01-05,Home Goods,Los Angeles,Middle Mile,12,48,486.09
2020-01-05,Home Goods,Detroit,Middle Mile,16,80,517.79
2020-01-05,Home Goods,Sacramento,Middle Mile,14,84,355.59
2020-01-05,T.J. Maxx,Chicago,Middle Mile,13,65,587.22
2020-01-05,Home Depot,Detroit,Final Mile,16,64,2532.83
2020-01-05,Home Depot,Atlanta,Final Mile,17,85,3890.55
2020-01-05,Home Depot,Dallas,Final Mile,15,105,2106.49
2020-01-05,Home Depot,San Diego,Final Mile,16,80,1097.26
2020-01-05,Home Depot,Nashville,Final Mile,19,95,2587.63
2020-01-05,Home Goods,Houston,Middle Mile,9,45,648.84
2020-01-05,Home Depot,Houston,Final Mile,19,76,3505.5
2020-01-05,Chick-Fil-A,Detroit,Final Mile,13,65,493.1
2020-01-05,Starbucks,San Francisco,Middle Mile,14,70,497.99
2020-01-05,Lowes,Chicago,Final Mile,10,50,2599.87
2020-01-05,Shein,Houston,Middle Mile,5,25,279.13
2020-01-05,Shein,Sacramento,Middle Mile,6,42,419.6
2020-01-05,Shein,Chicago,Middle Mile,10,50,677.69
2020-01-05,Shein,Dallas,Middle Mile,14,42,878.74
2020-01-05,Shein,Milwaukee,Middle Mile,14,70,1615.5
2020-01-05,Starbucks,Seattle,Middle Mile,15,75,1142.35
2020-01-05,Starbucks,Birmingham,Middle Mile,14,70,678.25
2020-01-05,Starbucks,Dallas,Middle Mile,7,35,529.72
2020-01-05,Starbucks,San Diego,Middle Mile,14,70,1227.55
2020-01-05,Starbucks,Sacramento,Middle Mile,6,30,257.87
2020-01-05,Home Depot,Tampa Bay,Final Mile,9,45,3283.47
2020-01-05,Chipotle,Houston,Final Mile,13,65,978.78
2020-01-05,Costco,Detroit,First Mile,3,15,313.26
2020-01-05,Chipotle,Chicago,Final Mile,18,90,1255.01
2020-01-05,Costco,Houston,First Mile,4,20,281.73
2020-01-05,Amazon,Chicago,Final Mile,15,75,822.67
2020-01-05,Amazon,San Francisco,Final Mile,11,55,275.63
2020-01-05,Amazon,Los Angeles,Final Mile,12,60,1030.76
2020-01-05,Amazon,San Diego,Final Mile,16,80,537.05
2020-01-05,Amazon,Houston,Final Mile,8,32,172.47
2020-01-05,Amazon,New York,Final Mile,6,30,697.58
2020-01-05,Amazon,Birmingham,Final Mile,7,35,525.41
2020-01-05,Amazon,Minneapolis,Final Mile,11,55,1131.49
2020-01-05,Amazon,Dallas,Final Mile,16,80,1805.96
2020-01-05,Amazon,Tampa Bay,Final Mile,15,75,836.27
2020-01-05,Amazon,Sacramento,Final Mile,5,20,451.2
2020-01-05,Costco,Minneapolis,First Mile,7,35,1382.27
2020-01-05,Walmart,New York,Middle Mile,14,70,308.23
2020-01-05,Amazon,Atlanta,Final Mile,16,64,1441.09
2020-01-05,Walmart,Chicago,Middle Mile,19,114,2685.89
2020-01-05,Walmart,Milwaukee,Middle Mile,8,40,622.81
2020-01-05,Costco,New York,First Mile,7,35,519.95
2020-01-05,Costco,Los Angeles,First Mile,6,36,832.52
2020-01-05,Costco,Milwaukee,First Mile,3,15,166.53
2020-01-05,Costco,San Francisco,First Mile,4,32,1138.35
2020-01-05,Costco,Chicago,First Mile,3,15,569.05
2020-01-05,Target,Seattle,Middle Mile,10,50,1244.54
2020-01-05,Target,Chicago,Middle Mile,19,95,1141.96
2020-01-05,Target,Sacramento,Middle Mile,15,75,573.84
2020-01-05,Target,Detroit,Middle Mile,14,56,292.47
2020-01-05,Target,Atlanta,Middle Mile,14,84,710.96
2020-01-05,Target,Dallas,Middle Mile,15,75,575.82
2020-01-06,Home Goods,Tampa Bay,Middle Mile,41,246,2060.25
2020-01-06,Home Goods,Miami,Middle Mile,59,295,3506.76
2020-01-06,T.J. Maxx,Chicago,Middle Mile,66,330,2981.29
2020-01-06,T.J. Maxx,Seattle,Middle Mile,37,185,1875.98
2020-01-06,Home Depot,Houston,Final Mile,99,495,22831.85
2020-01-06,Home Depot,San Francisco,Final Mile,56,280,20223.18
2020-01-06,Home Depot,Detroit,Final Mile,83,415,16423.85
2020-01-06,Home Depot,Los Angeles,Final Mile,94,470,30627.65
2020-01-06,Home Goods,Birmingham,Middle Mile,65,260,1819.6
2020-01-06,Home Depot,Sacramento,Final Mile,68,340,15382.51
2020-01-06,Home Depot,Seattle,Final Mile,29,145,5021.82
2020-01-06,Home Goods,Houston,Middle Mile,47,329,4743.76
2020-01-06,Shein,Houston,Middle Mile,27,135,1507.3
2020-01-06,Chipotle,Detroit,Final Mile,31,155,677.84
2020-01-06,Chipotle,Tampa Bay,Final Mile,42,210,2320.35
2020-01-06,Chipotle,Miami,Final Mile,24,120,2015.92
2020-01-06,Lowes,Detroit,Final Mile,25,125,1023.05
2020-01-06,Starbucks,Houston,Middle Mile,69,345,3603.26
2020-01-06,Starbucks,Nashville,Middle Mile,72,360,5526.18
2020-01-06,Starbucks,Seattle,Middle Mile,76,380,5787.89
2020-01-06,Starbucks,Atlanta,Middle Mile,26,130,1939.81
2020-01-06,Starbucks,Detroit,Middle Mile,26,130,2107.34
2020-01-06,Starbucks,Milwaukee,Middle Mile,64,320,2768.19
2020-01-06,Home Depot,Tampa Bay,Final Mile,47,188,13717.63
2020-01-06,Chick-Fil-A,Los Angeles,Final Mile,39,156,2338.07
2020-01-06,Home Depot,Birmingham,Final Mile,28,168,12592.16
2020-01-06,Home Depot,Nashville,Final Mile,98,588,16016.06
2020-01-06,Costco,Minneapolis,First Mile,36,180,7108.79
2020-01-06,Costco,Seattle,First Mile,27,135,2909.86
2020-01-06,Amazon,Chicago,Final Mile,77,308,3378.42
2020-01-06,Amazon,San Francisco,Final Mile,55,275,1378.15
2020-01-06,Amazon,Los Angeles,Final Mile,62,310,5325.62
2020-01-06,Amazon,San Diego,Final Mile,82,410,2752.36
2020-01-06,Amazon,Houston,Final Mile,42,252,1358.16
2020-01-06,Amazon,Birmingham,Final Mile,38,152,2281.78
2020-01-06,Amazon,Nashville,Final Mile,31,155,3138.78
2020-01-06,Amazon,Minneapolis,Final Mile,56,392,8064.43
2020-01-06,Amazon,Dallas,Final Mile,81,486,10971.18
2020-01-06,Amazon,Tampa Bay,Final Mile,75,300,3345.08
2020-01-06,Amazon,Sacramento,Final Mile,25,125,2820.02
2020-01-06,Amazon,New York,Final Mile,33,165,3836.67
2020-01-06,Walmart,Milwaukee,Middle Mile,40,200,3114.05
2020-01-06,Walmart,New York,Middle Mile,72,432,1902.24
2020-01-06,Costco,Houston,First Mile,21,84,1183.28
2020-01-06,Costco,Chicago,First Mile,17,102,3869.52
2020-01-06,Costco,San Francisco,First Mile,24,96,3415.06
2020-01-06,Target,Seattle,Middle Mile,53,212,5276.86
2020-01-06,Costco,Miami,First Mile,40,200,6767.98
2020-01-06,Target,Chicago,Middle Mile,99,198,2380.08
2020-01-06,Target,Detroit,Middle Mile,70,350,1827.91
2020-01-06,Target,San Francisco,Middle Mile,46,230,2324.59
2020-01-06,Target,Milwaukee,Middle Mile,87,435,3056.27
2020-01-06,Walmart,Chicago,Middle Mile,96,480,11309.01
2020-01-07,Home Goods,Tampa Bay,Middle Mile,41,205,1716.88
2020-01-07,Chick-Fil-A,Los Angeles,Final Mile,39,195,2922.59
2020-01-07,Chick-Fil-A,Houston,Final Mile,63,315,4424.78
2020-01-07,Home Goods,Houston,Middle Mile,47,235,3388.4
2020-01-07,Chick-Fil-A,San Francisco,Final Mile,27,135,1231.42
2020-01-07,Starbucks,San Diego,Middle Mile,72,360,6313.12
2020-01-07,Home Depot,Atlanta,Final Mile,89,445,20368.16
2020-01-07,Home Goods,San Francisco,Middle Mile,68,340,2399.6
2020-01-07,T.J. Maxx,Seattle,Middle Mile,37,185,1875.98
2020-01-07,Home Depot,Houston,Final Mile,99,495,22831.85
2020-01-07,Home Depot,Miami,Final Mile,37,185,7689.83
2020-01-07,Home Depot,Detroit,Final Mile,83,415,16423.85
2020-01-07,Chipotle,Detroit,Final Mile,31,155,677.84
2020-01-07,Home Goods,Miami,Middle Mile,59,295,3506.76
2020-01-07,Chipotle,Dallas,Final Mile,37,148,2012.68
2020-01-07,Shein,Milwaukee,Middle Mile,72,360,8308.29
2020-01-07,Chipotle,San Francisco,Final Mile,62,310,2252.49
2020-01-07,Chipotle,Milwaukee,Final Mile,44,220,3104.05
2020-01-07,Chipotle,New York,Final Mile,73,365,4819.59
2020-01-07,Lowes,Milwaukee,Final Mile,17,102,3062.65
2020-01-07,Lowes,Detroit,Final Mile,25,125,1023.05
2020-01-07,Lowes,Sacramento,Final Mile,46,230,9459.88
2020-01-07,Shein,Houston,Middle Mile,27,135,1507.3
2020-01-07,Shein,New York,Middle Mile,35,140,2775.45
2020-01-07,Shein,Los Angeles,Middle Mile,20,100,650.49
2020-01-07,Shein,Sacramento,Middle Mile,32,160,1598.5
2020-01-07,Shein,Chicago,Middle Mile,52,260,3523.97
2020-01-07,Starbucks,Chicago,Middle Mile,76,380,6119.7
2020-01-07,Starbucks,Seattle,Middle Mile,76,456,6945.47
2020-01-07,Home Depot,Los Angeles,Final Mile,94,470,30627.65
2020-01-07,Chipotle,Atlanta,Final Mile,34,136,2324.31
2020-01-07,Home Depot,Sacramento,Final Mile,68,340,15382.51
2020-01-07,Home Goods,Sacramento,Middle Mile,70,350,1481.63
2020-01-07,Home Depot,Milwaukee,Final Mile,40,200,7213.52
2020-01-07,Amazon,Chicago,Final Mile,77,385,4223.02
2020-01-07,Amazon,Atlanta,Final Mile,83,415,9344.58
2020-01-07,Amazon,San Francisco,Final Mile,55,275,1378.15
2020-01-07,Amazon,Los Angeles,Final Mile,62,310,5325.62
2020-01-07,Amazon,Houston,Final Mile,42,210,1131.8
2020-01-07,Amazon,Birmingham,Final Mile,38,190,2852.23
2020-01-07,Amazon,Nashville,Final Mile,31,155,3138.78
2020-01-07,Amazon,Tampa Bay,Final Mile,75,375,4181.36
2020-01-07,Amazon,Sacramento,Final Mile,25,125,2820.02
2020-01-07,Walmart,New York,Middle Mile,72,432,1902.24
2020-01-07,Walmart,Milwaukee,Middle Mile,40,200,3114.05
2020-01-07,Walmart,Chicago,Middle Mile,96,480,11309.01
2020-01-07,Target,Atlanta,Middle Mile,72,360,3046.96
2020-01-07,Target,Milwaukee,Middle Mile,87,435,3056.27
2020-01-07,Target,San Francisco,Middle Mile,46,276,2789.51
2020-01-07,Home Depot,Dallas,Final Mile,78,390,7824.1
2020-01-07,Target,Sacramento,Middle Mile,79,395,3022.22
2020-01-07,Home Depot,Nashville,Final Mile,98,490,13346.72
2020-01-07,Costco,Seattle,First Mile,27,162,3491.83
2020-01-07,Costco,Detroit,First Mile,15,60,1253.03
2020-01-07,Costco,Minneapolis,First Mile,36,144,5687.03
2020-01-07,Target,Detroit,Middle Mile,70,350,1827.91
2020-01-07,Costco,Birmingham,First Mile,14,70,1093.13
2020-01-07,Costco,Chicago,First Mile,17,85,3224.6
2020-01-07,Costco,San Diego,First Mile,46,322,7142.02
2020-01-07,Costco,Los Angeles,First Mile,33,165,3815.7
2020-01-07,Costco,San Francisco,First Mile,24,120,4268.82
2020-01-07,Costco,Miami,First Mile,40,200,6767.98
2020-01-07,Target,Dallas,Middle Mile,76,380,2917.48
2020-01-07,Target,Seattle,Middle Mile,53,265,6596.08
2020-01-07,Target,Chicago,Middle Mile,99,594,7140.24
2020-01-07,Costco,New York,First Mile,36,180,2674.0
2020-01-08,Lowes,Milwaukee,Final Mile,8,32,960.83
2020-01-08,Chipotle,New York,Final Mile,36,144,1901.43
2020-01-08,Chipotle,Houston,Final Mile,33,165,2484.61
2020-01-08,Chipotle,Detroit,Final Mile,15,75,327.98
2020-01-08,Chick-Fil-A,San Francisco,Final Mile,13,65,592.9
2020-01-08,Chick-Fil-A,Tampa Bay,Final Mile,30,150,1493.43
2020-01-08,Home Depot,Chicago,Final Mile,43,258,18830.07
2020-01-08,Home Goods,New York,Middle Mile,14,70,1269.44
2020-01-08,Home Goods,Los Angeles,Middle Mile,30,150,1519.02
2020-01-08,Home Goods,Detroit,Middle Mile,41,205,1326.84
2020-01-08,Home Goods,Sacramento,Middle Mile,35,175,740.82
2020-01-08,Home Depot,Houston,Final Mile,49,245,11300.61
2020-01-08,Home Depot,Detroit,Final Mile,41,164,6490.39
2020-01-08,Lowes,Detroit,Final Mile,12,72,589.28
2020-01-08,Home Goods,Houston,Middle Mile,23,92,1326.52
2020-01-08,Shein,Houston,Middle Mile,13,65,725.74
2020-01-08,Starbucks,New York,Middle Mile,28,140,862.92
2020-01-08,Shein,Los Angeles,Middle Mile,10,60,390.29
2020-01-08,Starbucks,Milwaukee,Middle Mile,32,96,830.46
2020-01-08,Home Depot,Los Angeles,Final Mile,47,235,15313.83
2020-01-08,Starbucks,San Diego,Middle Mile,36,144,2525.25
2020-01-08,Starbucks,Miami,Middle Mile,36,216,938.95
2020-01-08,Starbucks,Dallas,Middle Mile,19,95,1437.81
2020-01-08,Starbucks,Detroit,Middle Mile,13,65,1053.67
2020-01-08,Shein,New York,Middle Mile,17,85,1685.09
2020-01-08,Starbucks,Atlanta,Middle Mile,13,78,1163.89
2020-01-08,Starbucks,Seattle,Middle Mile,38,190,2893.95
2020-01-08,Starbucks,Chicago,Middle Mile,38,228,3671.82
2020-01-08,Shein,Dallas,Middle Mile,36,252,5272.46
2020-01-08,Shein,Detroit,Middle Mile,27,135,1074.85
2020-01-08,Shein,Nashville,Middle Mile,26,156,3383.94
2020-01-08,Shein,Sacramento,Middle Mile,16,80,799.25
2020-01-08,Starbucks,Birmingham,Middle Mile,36,180,1744.07
2020-01-08,Starbucks,Minneapolis,Middle Mile,18,72,1081.67
2020-01-08,Costco,Seattle,First Mile,13,52,1120.83
2020-01-08,Costco,Detroit,First Mile,7,35,730.94
2020-01-08,Walmart,Chicago,Middle Mile,48,240,5654.51
2020-01-08,Walmart,New York,Middle Mile,36,180,792.6
2020-01-08,Amazon,Sacramento,Final Mile,12,84,1895.06
2020-01-08,Amazon,Tampa Bay,Final Mile,37,185,2062.8
2020-01-08,Amazon,Dallas,Final Mile,40,240,5417.87
2020-01-08,Amazon,Minneapolis,Final Mile,28,140,2880.15
2020-01-08,Target,San Francisco,Middle Mile,23,115,1162.3
2020-01-08,Amazon,Birmingham,Final Mile,19,95,1426.11
2020-01-08,Amazon,Houston,Final Mile,21,105,565.9
2020-01-08,Amazon,San Diego,Final Mile,41,205,1376.18
2020-01-08,Amazon,Los Angeles,Final Mile,31,155,2662.81
2020-01-08,Amazon,San Francisco,Final Mile,27,135,676.54
2020-01-08,Amazon,Atlanta,Final Mile,41,205,4616.0
2020-01-08,Home Depot,Dallas,Final Mile,39,234,4694.46
2020-01-08,Amazon,New York,Final Mile,16,80,1860.2
2020-01-08,Target,Detroit,Middle Mile,35,245,1279.54
2020-01-08,Amazon,Chicago,Final Mile,38,190,2084.09
2020-01-08,Target,Nashville,Middle Mile,40,200,2471.45
2020-01-08,Costco,Dallas,First Mile,14,84,1806.02
2020-01-08,Costco,Minneapolis,First Mile,18,108,4265.27
2020-01-08,Costco,San Diego,First Mile,23,92,2040.58
2020-01-08,Costco,Birmingham,First Mile,7,35,546.57
2020-01-08,Target,Tampa Bay,Middle Mile,22,110,450.71
2020-01-08,Costco,Los Angeles,First Mile,16,80,1850.04
2020-01-08,Costco,Milwaukee,First Mile,9,45,499.58
2020-01-08,Costco,New York,First Mile,18,90,1337.0
2020-01-08,Costco,Atlanta,First Mile,22,110,3905.92
2020-01-08,Target,Dallas,Middle Mile,38,190,1458.74
